run,conv_gen,champion,coverage,speedup
opt_bg_A,60,1.0,4,123.76761433868974
opt_bg_B,54,17.0,4,140.4319775596073
opt_bg_C,49,10.0,4,147.89955686853767
opt_bg_D,37,306.0,0,188.21052631578948
opt_bg_E,41,4.0,7,178.8
polar_A,37,1.0,20,189.99620493358634
polar_B,46,4.0,10,154.5185185185185
polar_C,32,1.0,23,217.19739696312365
polar_D,26,156.0,0,258.0618556701031
polar_E,40,1.0,19,173.5320623916811
solv_eng_A,65,1.0,12,118.35460992907801
solv_eng_B,30,2.0,5,226.02257336343115
solv_eng_C,129,1.0,25,63.89789406509254
solv_eng_D,61,2.0,15,120.7816646562123
solv_eng_E,61,30.0,3,120.63614457831325
