run,conv_gen,champion,coverage,speedup
opt_bg_A,50,1.0,4,145.32365747460088
opt_bg_B,18,306.0,0,376.42105263157896
opt_bg_C,19,160.0,0,337.1313131313131
opt_bg_D,24,306.0,0,277.3628808864266
opt_bg_E,41,4.0,7,178.8
polar_A,27,1.0,15,253.4886075949367
polar_B,19,4.0,5,340.57142857142856
polar_C,19,1.0,10,332.6511627906977
polar_D,20,156.0,0,325.09090909090907
polar_E,18,3.0,7,355.06382978723406
solv_eng_A,48,3.0,7,154.2804314329738
solv_eng_B,26,2.0,4,256.73846153846154
solv_eng_C,24,40.0,3,280.47058823529414
solv_eng_D,52,2.0,15,137.72764786795048
solv_eng_E,32,30.0,2,218.62008733624455
