run,conv_gen,champion,coverage,speedup
opt_bg_A,50,1.0,4,145.32365747460088
opt_bg_B,47,17.0,2,158.93333333333334
opt_bg_C,38,141.0,0,184.3977900552486
opt_bg_D,24,306.0,0,277.3628808864266
opt_bg_E,41,4.0,7,178.8
polar_A,37,1.0,20,189.99620493358634
polar_B,39,4.0,9,179.11985688729874
polar_C,32,1.0,23,217.19739696312365
polar_D,23,156.0,0,287.7241379310345
polar_E,27,1.0,12,245.41176470588235
solv_eng_A,48,3.0,7,154.2804314329738
solv_eng_B,26,2.0,4,256.73846153846154
solv_eng_C,41,9.0,5,171.74614065180103
solv_eng_D,52,2.0,15,137.72764786795048
solv_eng_E,38,30.0,2,185.42222222222222
